parameter,mse,rmse,mae,r2,relative_error_pct,meaningful_mse,meaningful_rmse,meaningful_mae,meaningful_r2,meaningful_relative_error_pct,excluded_samples,excluded_samples_pct
midi_f0,0.0009176887106150389,0.030293377116322517,0.025796905159950256,0.9890117645263672,5.116480350494385,0.0009176887106150389,0.030293377116322517,0.025796905159950256,0.9890117645263672,5.116480350494385,0,0.0
cutoff,0.0022051685955375433,0.04695922136306763,0.036649055778980255,0.9658144116401672,5.805836200714111,0.0022051685955375433,0.04695922136306763,0.036649055778980255,0.9658144116401672,5.805836200714111,0,0.0
attack,0.0013432444538921118,0.03665030002593994,0.029618512839078903,0.9838093519210815,5.993537902832031,0.0013432444538921118,0.03665030002593994,0.029618512839078903,0.9838093519210815,5.993537902832031,0,0.0
decay,0.00785018689930439,0.08860128372907639,0.05223120376467705,0.9066566824913025,10.394002914428711,0.003097952576354146,0.055659253150224686,0.038960572332143784,0.9629288911819458,7.764509201049805,781,10.413333333333332
sustain,0.0019456411246210337,0.04410942271351814,0.035575248301029205,0.976747989654541,7.094782829284668,0.0019456411246210337,0.04410942271351814,0.035575248301029205,0.976747989654541,7.094782829284668,0,0.0
release,0.001498689758591354,0.038712915033102036,0.03165736794471741,0.9822937846183777,6.362268924713135,0.001498689758591354,0.038712915033102036,0.03165736794471741,0.9822937846183777,6.362268924713135,0,0.0
alpha,0.0015680509386584163,0.03959862142801285,0.02908231131732464,0.9811892509460449,5.865220546722412,0.0015680509386584163,0.03959862142801285,0.02908231131732464,0.9811892509460449,5.865220546722412,0,0.0
noise,0.0019739149138331413,0.044428762048482895,0.03426145762205124,0.9760608077049255,6.866619110107422,0.0019739149138331413,0.044428762048482895,0.03426145762205124,0.9760608077049255,6.866619110107422,0,0.0
sine,0.0036982332821935415,0.06081310287117958,0.0413687564432621,0.9310629367828369,10.956210136413574,0.0036982332821935415,0.06081310287117958,0.0413687564432621,0.9310629367828369,10.956210136413574,0,0.0
sqr,0.0027933320961892605,0.05285198241472244,0.03470534086227417,0.9470938444137573,9.305904388427734,0.0027933320961892605,0.05285198241472244,0.03470534086227417,0.9470938444137573,9.305904388427734,0,0.0
shape,0.006552377715706825,0.08094675838947296,0.0487813726067543,0.9191452860832214,9.694463729858398,0.003000510623678565,0.05477691814303398,0.036616597324609756,0.9630571603775024,7.237120628356934,1562,20.826666666666664
