parameter,mse,rmse,mae,r2,relative_error_pct,meaningful_mse,meaningful_rmse,meaningful_mae,meaningful_r2,meaningful_relative_error_pct,excluded_samples,excluded_samples_pct
midi_f0,0.0007565549458377063,0.0275055430829525,0.022316576912999153,0.9909411668777466,4.426202774047852,0.0007565549458377063,0.0275055430829525,0.022316576912999153,0.9909411668777466,4.426202774047852,0,0.0
cutoff,0.0022538600023835897,0.04747483506798744,0.03628111630678177,0.9650595784187317,5.747548580169678,0.0022538600023835897,0.04747483506798744,0.03628111630678177,0.9650595784187317,5.747548580169678,0,0.0
attack,0.0013147490099072456,0.03625946864485741,0.027748649939894676,0.9841527938842773,5.615156650543213,0.0013147490099072456,0.03625946864485741,0.027748649939894676,0.9841527938842773,5.615156650543213,0,0.0
decay,0.009208565577864647,0.09596127271652222,0.057972781360149384,0.8905047178268433,11.536576271057129,0.003970423713326454,0.0630112960934639,0.043312933295965195,0.9524886012077332,8.631897926330566,781,10.413333333333332
sustain,0.0017894780030474067,0.042302221059799194,0.03387802094221115,0.9786142706871033,6.7563042640686035,0.0017894780030474067,0.042302221059799194,0.03387802094221115,0.9786142706871033,6.7563042640686035,0,0.0
release,0.0016252577770501375,0.040314484387636185,0.03323628380894661,0.9807984828948975,6.679588317871094,0.0016252577770501375,0.040314484387636185,0.03323628380894661,0.9807984828948975,6.679588317871094,0,0.0
alpha,0.0019437161972746253,0.044087596237659454,0.03178166598081589,0.9766826629638672,6.4096174240112305,0.0019437161972746253,0.044087596237659454,0.03178166598081589,0.9766826629638672,6.4096174240112305,0,0.0
noise,0.0026888963766396046,0.05185456946492195,0.04129713401198387,0.9673896431922913,8.27669620513916,0.0026888963766396046,0.05185456946492195,0.04129713401198387,0.9673896431922913,8.27669620513916,0,0.0
sine,0.004569923039525747,0.06760120391845703,0.05139238387346268,0.9148141145706177,13.610893249511719,0.004569923039525747,0.06760120391845703,0.05139238387346268,0.9148141145706177,13.610893249511719,0,0.0
sqr,0.0031341288704425097,0.0559832900762558,0.04019978269934654,0.940639078617096,10.779186248779297,0.0031341288704425097,0.0559832900762558,0.04019978269934654,0.940639078617096,10.779186248779297,0,0.0
shape,0.00737368268892169,0.08587014675140381,0.05256248265504837,0.9090105891227722,10.445894241333008,0.003303298493847251,0.05747433006763458,0.039018984884023666,0.9593291878700256,7.711942672729492,1562,20.826666666666664
